Name,Address,District,Type,Lat,Long
Neo SOHO,"Letjen S. Parman St No.Kav. 28, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",West Jakarta,Building,-6.174869383,106.7900182
SOHO capital,"Jl. Tanjung Duren Raya No.1, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",West Jakarta,Building,-6.174378031,106.7897751
West Vista Puri,"Jl. Lkr. Luar Barat No.8, RW.6, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",West Jakarta,Building,-6.157963384,106.7266474
Chitaland Tower,"Jl. Prof. Dr. Satrio, Kav. 3 RT.18/RW.4, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940",South Jakarta,Building,-6.223861661,106.8216308
Wisma Mulia,"Jl. Jend. Gatot Subroto No. 42, Jend. Gatot Subroto, Gatot Subroto, Jakarta Selatan",South Jakarta,Building,-6.18973145,106.8464572
UOB Plaza Jakarta,"Jalan M.H. Thamrin Kav 8-10 RT. 14 / RW. 20, Kebon Melati, Tanah Abang, Kebon Melati, RT.14/RW.20, Kb. Melati, Tanah Abang, Kota Jakarta Pusat, DKI Jakarta",Central Jakarta,Building,-6.19898,106.8223527
DBS Tower,"Jl. Prof. DR. Satrio No.Kav.3, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.224177376,106.8233756
Anandamaya Residences,"Jl. Jenderal Sudirman No.5, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Building,-6.207432789,106.8200059
One Pacific Place,"Jl. Jend. Sudirman Kav. 52-53, SCBD, Jakarta Selatan",South Jakarta,Building,-6.22447625,106.8098148
MNC Media Tower,"Jl. Kebon Sirih No. 17-19, Kebon Sirih, Kebon Sirih, Jakarta Pusat",Central Jakarta,Building,-6.1848257,106.8311857
Central Park Apartment,"Kav, Letjen S. Parman St No.28, RT.8/RW.8, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",West Jakarta,Building,-6.178551891,106.7900304
Thamrin Executive Residence,"RT.3/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",Central Jakarta,Building,-6.19618125,106.8164502
Menara Palma,"Jl. Denpasar Raya No.20, RT.7/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Building,-6.2269513,106.8334274
Pacific Place Residences West Tower,"Jl. Jenderal Sudirman No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Sumatera Selatan 12190",South Jakarta,Building,-6.22403924,106.8098447
The St Moritz Presidential Suite Tower,"Jl. Puri Lkr. Luar No.3, RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",West Jakarta,Building,-6.190583998,106.7388815
